1,月,9:00,10:15,オリエンテーション,病棟11階西病棟 学生実習室…奥(集合)
1,月,10:30,12:00,入院報告会,病棟11階西病棟CR(集合)
1,月,13:00,14:30,総回診,病棟11階西病棟CR(集合)
1,月,15:00,16:30,回診、病棟実習,病棟11階西病棟CR(集合)
1,火,8:45,10:15,回診、病棟実習,病棟11階西病棟CR(集合)
1,火,11:00,12:00,グループセミナー（糖尿病・内分泌）,病棟11階西病棟 学生実習室(集合)
1,火,13:00,14:30,病棟実習,病棟11階西病棟CR(集合)
1,火,15:00,16:30,病棟実習,病棟11階西病棟CR(集合)
1,火,18:00,19:00,レジデントレポート または、リサーチセミナー(時間未定),
1,水,8:45,10:15,回診、病棟実習,病棟11階西病棟CR(集合)
1,水,10:30,12:00,病棟実習,病棟11階西病棟CR(集合)
1,水,13:00,14:30,病棟実習,病棟11階西病棟CR(集合)
1,水,15:00,16:30,Clinical interactive seminar(Amengual Olga),
1,木,8:45,10:15,回診、病棟実習,病棟11階西病棟CR(集合)
1,木,10:30,12:00,病棟実習,病棟11階西病棟CR(集合)
1,木,13:00,14:30,病棟実習,病棟11階西病棟CR(集合)
1,木,15:00,16:30,グループセミナー（腎）,病棟11階西病棟 学生実習室(集合)
1,金,8:45,10:15,回診、病棟実習,病棟11階西病棟CR(集合)
1,金,10:30,12:00,病棟実習,病棟11階西病棟CR(集合)
1,金,13:00,14:30,病棟実習,病棟11階西病棟CR(集合)
1,金,15:00,16:30,チュートリアル1,病棟11階西病棟 学生実習室(集合)
2,月,8:45,10:15,回診、病棟実習,病棟11階西病棟CR(集合)
2,月,10:30,12:00,入院報告会,病棟11階西病棟CR(集合)
2,月,13:00,14:30,総回診,病棟11階西病棟CR(集合)
2,月,15:00,16:15,病棟実習,病棟11階西病棟CR(集合)
2,火,8:45,10:15,回診、病棟実習,病棟11階西病棟CR(集合)
2,火,10:30,12:00,病棟実習,病棟11階西病棟CR(集合)
2,火,13:00,14:30,病棟実習,病棟11階西病棟CR(集合)
2,火,15:00,16:15,チュートリアル2,病棟11階西病棟 学生実習室(集合)
2,火,18:00,19:00,レジデントレポート または、リサーチセミナー(時間未定),
2,水,8:45,10:15,回診、病棟実習,病棟11階西病棟CR(集合)
2,水,10:30,12:00,病棟実習,病棟11階西病棟CR(集合)
2,水,13:00,14:30,病棟実習,病棟11階西病棟CR(集合)
2,水,15:00,16:15,グループセミナー(膠原病),病棟11階西病棟 学生実習室(集合)
2,木,8:45,10:15,回診、病棟実習,病棟11階西病棟CR(集合)
2,木,10:30,12:00,病棟実習,病棟11階西病棟CR(集合)
2,木,13:00,14:30,病棟実習,病棟11階西病棟CR(集合)
2,木,15:00,16:15,チュートリアル3,病棟11階西病棟 学生実習室(集合)
2,金,8:45,10:15,回診、病棟実習,病棟11階西病棟CR(集合)
2,金,10:30,12:00,病棟実習,病棟11階西病棟CR(集合)
2,金,13:00,14:30,病棟実習,病棟11階西病棟CR(集合)
2,金,15:00,16:15,プレゼンテーション,内科Ⅱ教授室または学生実習室(集合)
