2017,05,08,8:15,8:45,形成外科 臨床実習概略説明,医学部東南棟4階カンファレンスルーム(集合)
2017,05,08,8:45,12:00,形成外科 形成外科手術実習(時間未定),北大病院3階手術室(集合)
2017,05,08,16:00,18:00,形成外科 他科再建手術実習(時間未定),北大病院3階手術室(集合)
2017,05,09,7:30,9:30,形成外科 カンファレンス参加,医学部東南棟4階カンファレンスルーム(集合)
2017,05,09,9:30,14:30,形成外科 外来実習,北大病院2階形成外科外来(集合)
2017,05,09,14:30,15:00,形成外科 病棟実習,北大病院4階形成外科CR(集合)
2017,05,09,15:00,16:00,形成外科 入院患者総回診参加,北大病院4階形成外科CR(集合)
2017,05,09,16:00,18:00,形成外科 他科再建手術実習(時間未定),北大病院3階手術室(集合)
2017,05,10,9:30,12:00,形成外科 外来実習(時間未定),北大病院2階形成外科外来(集合)
2017,05,10,14:00,16:00,形成外科 縫合セミナー,医学部東南棟4階カンファレンスルーム(集合)
2017,05,10,16:00,18:00,形成外科 他科再建手術実習(時間未定),北大病院3階手術室(集合)
2017,05,11,7:30,8:30,形成外科 カンファレンス参加,医学部東南棟4階カンファレンスルーム(集合)
2017,05,11,8:30,12:00,形成外科 形成外科手術実習～外来実習(時間未定),北大病院3階手術室(集合)
2017,05,11,14:00,16:00,形成外科 歯科共同外来実習、耳鼻科共同外来実習、唇裂外来,北大病院2階形成外科・耳鼻科外来(集合)
2017,05,11,16:00,18:00,形成外科 他科再建手術実習(時間未定),北大病院3階手術室(集合)
2017,05,12,8:15,11:00,形成外科 形成外科手術実習,北大病院3階手術室(集合)
2017,05,12,11:00,12:00,形成外科 臨床実習口演.ppt(時間未定),医学部東南棟4階カンファレンスルーム(集合)
2017,05,12,13:00,18:00,形成外科 形成外科手術実習(時間未定),北大病院3階手術室(集合)
2017,05,15,9:00,9:30,放射線治療科 オリエンテーション,放医局
2017,05,15,9:30,11:00,放射線治療科 小講義総論 脳腫瘍・頭頚部癌,放医局
2017,05,15,11:00,12:00,放射線治療科 放射線治療室見学,地下放射線治療室
2017,05,15,12:00,13:55,放射線治療科 自習,
2017,05,15,13:55,15:00,放射線治療科 婦人科カンファレンス,地下放射線治療室
2017,05,15,15:30,16:30,放射線治療科 小講義　泌尿器・婦人科腫瘍,放医局
2017,05,16,8:30,9:30,放射線治療科 自習,
2017,05,16,9:30,10:30,放射線治療科 小講義　高精度放射線,放医局
2017,05,16,10:30,13:55,放射線治療科 自習,
2017,05,16,13:55,15:00,放射線治療科 病棟実習,5-2 CR室
2017,05,16,15:00,17:00,放射線治療科 自習・レポート作成,
2017,05,17,8:00,9:00,放射線治療科 抄読会,地下放射線治療室
2017,05,17,9:00,10:00,放射線治療科 自習,
2017,05,17,10:00,12:00,放射線治療科 *院外実習　北海道がんセンター放射線治療科,現地(集合)
2017,05,17,14:00,15:00,放射線治療科 放射線治療計画実習,地下放射線治療室
2017,05,17,15:00,18:00,放射線治療科 自習・レポート作成,
